GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MagnetAi,com.example.magnetai,Charge,322,0,13,0,69,0,30,0,22,0
MagnetAi,com.example.magnetai,Simulation.myTimer,13,0,0,0,4,0,2,0,2,0
MagnetAi,com.example.magnetai,MathFunctions,3,172,1,7,1,16,2,8,1,5
MagnetAi,com.example.magnetai,FxController,677,0,24,0,146,0,36,0,24,0
MagnetAi,com.example.magnetai,MagneticField,48,0,0,0,16,0,8,0,8,0
MagnetAi,com.example.magnetai,SimulationDisplay,680,0,56,0,110,0,38,0,7,0
MagnetAi,com.example.magnetai,ActivationFunctions,3,25,0,0,1,4,1,3,1,3
MagnetAi,com.example.magnetai,NeuralDisplay,457,0,12,0,72,0,11,0,5,0
MagnetAi,com.example.magnetai,FinishLine,34,0,0,0,11,0,6,0,6,0
MagnetAi,com.example.magnetai,MenuPageController,179,0,0,0,40,0,8,0,8,0
MagnetAi,com.example.magnetai,Simulation,1884,0,180,0,321,0,128,0,38,0
MagnetAi,com.example.magnetai,Obstacle,34,0,0,0,11,0,6,0,6,0
MagnetAi,com.example.magnetai,MainClass,41,0,0,0,10,0,3,0,3,0
MagnetAi,com.example.magnetai,NeuralNetwork,231,0,12,0,35,0,16,0,10,0
MagnetAi,com.example.magnetai,Superconductor,34,0,0,0,11,0,6,0,6,0
MagnetAi,com.example.magnetai,HiddenLayer,195,0,20,0,32,0,17,0,7,0
MagnetAi,com.example.magnetai,ChargeType,15,0,0,0,2,0,1,0,1,0
